id,submission,customer_name,customer_email,description,status,closed_on,employee_name
91,11:54 PM,Charles West,dflores2i@ibm.com,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",closed,5:28 AM,Dorothy Flores
92,7:51 PM,Christine Patterson,sbryant2j@berkeley.edu,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",closed,5:48 AM,Scott Bryant
93,1:16 PM,Laura Henderson,mharrison2k@canalblog.com,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",open,7:42 PM,Michael Harrison
94,7:17 AM,Bobby Mendoza,hmorgan2l@cisco.com,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",open,5:14 AM,Harry Morgan
95,2:24 PM,Anthony Hunter,ehenderson2m@twitter.com,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",closed,8:36 PM,Eugene Henderson
96,12:16 AM,Kathy Wheeler,sowens2n@jigsy.com,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",open,6:19 PM,Shawn Owens
97,6:39 AM,James Mcdonald,lholmes2o@bloglines.com,Praesent blandit lacinia erat.,closed,12:43 PM,Lisa Holmes
98,3:09 PM,Alan Montgomery,jprice2p@sciencedirect.com,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",closed,11:42 PM,Johnny Price
99,7:31 AM,Helen Morrison,sfranklin2q@xrea.com,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,open,6:47 AM,Scott Franklin
100,2:50 PM,Timothy Stewart,jcooper2r@who.int,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",open,11:18 AM,Judith Cooper
